I_D,FLAG_TSUNAMI,YEAR,MONTH,DAY,FOCAL_DEPTH,EQ_PRIMARY,LATITUDE,LONGITUDE,DEATHS
9799,Tsu,2011,3,11,30,9.1,38.297,142.372,1476
9805,,2011,3,11,43,7.9,36.281,141.111,
9806,,2011,3,11,19,7.6,38.058,144.59,
9801,,2011,3,24,8,6.8,20.687,99.822,75
9804,Tsu,2011,4,7,42,7.1,38.276,141.588,3
9824,Tsu,2011,6,24,52,7.3,52.05,-171.836,
9822,Tsu,2011,7,6,17,7.6,-29.539,-176.34,
9823,Tsu,2011,7,10,23,7,38.034,143.264,
9838,Tsu,2011,8,20,32,7.1,-18.365,168.143,
9837,Tsu,2011,8,20,28,7,-18.311,168.218,
9839,Tsu,2011,9,2,32,6.8,52.171,-171.708,
9842,,2011,9,18,50,6.9,27.73,88.155,111
9846,Tsu,2011,10,21,33,7.4,-28.993,-176.238,
9845,,2011,10,23,16,7.1,38.722,43.513,604
9886,,2011,10,28,24,6.9,-14.438,-75.966,1
9871,Tsu,2012,2,2,23,7,-17.827,167.133,
9878,Tsu,2012,3,14,12,6.9,40.887,144.944,
9876,Tsu,2012,3,20,20,7.4,16.493,-98.231,2
9920,,2012,3,25,41,7.2,-35.2,-72.217,1
9879,Tsu,2012,4,11,20,8.6,2.327,93.063,10
9880,Tsu,2012,4,11,25,8.2,0.802,92.463,
9929,,2012,8,14,583,7.7,49.8,145.064,
9934,Tsu,2012,8,27,28,7.3,12.139,-88.59,
9935,Tsu,2012,8,31,28,7.6,10.811,126.638,1
9936,Tsu,2012,9,5,35,7.6,10.085,-85.315,2
9941,Tsu,2012,10,28,14,7.7,52.788,-132.101,
9942,Tsu,2012,11,7,24,7.3,13.988,-91.895,48
9943,,2012,11,11,14,6.8,23.005,95.885,26
9946,Tsu,2012,12,7,31,7.2,37.89,143.949,
9953,Tsu,2013,1,5,10,7.5,55.393,-134.652,
9958,Tsu,2013,2,6,24,7.9,-10.799,165.114,
9963,Tsu,2013,2,8,21,7,-10.928,166.018,
9964,,2013,2,9,145,7,1.135,-77.393,
9976,,2013,4,16,80,7.7,28.033,61.996,40
9977,Tsu,2013,4,19,110,7.2,46.221,150.788,
9998,,2013,5,24,598,8.3,54.892,153.221,
10039,Tsu,2013,9,24,15,7.7,26.971,65.52,386
10040,,2013,9,25,46,7,-15.851,-74.562,
10043,,2013,9,28,15,6.8,27.263,65.587,22
10048,,2013,10,15,20,7.1,9.866,124.011,186
10052,Tsu,2013,10,25,26,7.1,37.149,144.679,
10054,,2013,11,17,10,7.8,-60.296,-46.362,
10073,,2014,2,12,10,6.9,35.922,82.549,
10079,Tsu,2014,4,1,20,8.2,-19.642,-70.817,7
10080,Tsu,2014,4,3,40,7.6,-20.4,-70.135,
10084,Tsu,2014,4,12,29,7.6,-11.315,162.211,
10085,Tsu,2014,4,13,35,7.4,-11.451,162.069,
10088,,2014,4,18,24,7.2,17.552,-100.816,
10091,Tsu,2014,4,19,31,7.5,-6.72,154.931,
10096,,2014,5,24,10,6.9,40.305,25.453,3
10101,Tsu,2014,6,23,20,6.9,-30.118,-177.67,
10100,Tsu,2014,6,23,108,7.9,51.797,178.76,
10102,,2014,7,7,60,6.9,14.742,-92.409,5
10115,Tsu,2014,10,9,16,7.1,-32.115,-110.779,
10193,Tsu,2014,10,14,40,7.3,12.526,-88.123,1
10119,Tsu,2014,11,15,35,7.1,1.928,126.547,
10133,Tsu,2015,3,29,40,7.5,-4.76,152.556,
10134,,2015,4,25,15,7.8,28.147,84.708,8200
10139,Tsu,2015,5,5,42,7.5,-5.465,151.886,
10141,,2015,5,12,15,7.3,27.837,86.077,117
10143,,2015,5,30,678,7.8,27.831,140.493,
10146,Tsu,2015,7,18,10,7,-10.444,165.172,
10157,Tsu,2015,7,27,29,6.9,52.376,-169.446,
10149,,2015,7,27,48,7,-2.683,138.508,
10156,Tsu,2015,9,16,22,8.3,-31.573,-71.674,7
10159,,2015,10,26,213,7.5,36.441,70.717,300
10162,Tsu,2015,11,11,10,6.9,-29.439,-72.105,
10166,,2015,11,24,612,7.6,-10.047,-71.023,
10165,,2015,11,24,601,7.6,-10.548,-70.904,
10168,,2015,12,7,26,7.2,38.258,72.767,2
10172,,2016,1,24,128,7.1,59.658,-153.452,
10175,Tsu,2016,3,2,24,7.8,-4.908,94.275,
10177,,2016,4,15,10,7,32.782,130.726,50
10176,,2016,4,16,21,7.8,0.382,-79.922,662
10179,Tsu,2016,4,28,27,7,-16.074,167.393,
10181,,2016,5,18,31,6.8,0.465,-79.641,1
10188,,2016,7,29,212,7.7,18.515,145.529,
10190,Tsu,2016,8,12,10,7.2,-22.495,173.111,
10192,Tsu,2016,8,19,10,7.4,-55.279,-31.874,
10195,,2016,8,24,84,6.8,20.919,94.579,3
10196,Tsu,2016,9,1,19,7.1,-37.401,179.055,
10206,Tsu,2016,11,13,53,7.8,-42.757,173.077,2
10209,Tsu,2016,11,21,11,6.9,37.392,141.403,
10211,Tsu,2016,11,24,10,7,11.96,-88.835,
10218,,2016,12,8,41,7.8,-10.665,161.335,1
10219,Tsu,2016,12,9,21,6.9,-10.73,161.107,
10220,Tsu,2016,12,17,103,7.9,-4.509,153.45,
10224,Tsu,2016,12,25,35,7.6,-43.416,-73.88,
10225,Tsu,2017,1,3,17,6.9,-19.326,176.053,
10235,Tsu,2017,1,22,136,7.9,-6.214,155.122,
